id,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74
0.062349234,0.14090218,0.4173246,0.25182006,0.3930717,0.29127476,-0.001157786,0.19076344,0.34498692,0.37415412,0.29798687,0.22402894,0.12201844,0.23570232,0.11016984,0.19468273,0.25097835,0.28423095,0.040952373,0.26455578,0.4979167,0.13552974,0.16743012,0.14144301,0.25270593,0.17070276,0.13746336,0.04655949,0.024801219,0.08618733,0.005182875,0.21542251,0.3371168,0.17414623,0.17749442,1.9463682,0.13494255,0.19808675,0.18983993,0.37206778,0.05219535,0.1658793,0.07439846,0.21528764,0.38779652,0.31322247,0.33648127,0.05988539,0.32729265,0.2252324,0.14546584,0.19958748,0.03960523,0.17111418,0.28741664,0.07630522,0.16454881,0.32390112,0.08275032,0.32494283,0.15624936,0.13876194,-0.012564865,0.3270895,0.03650128,0.093235224,0.32417268,4.1443787,0.10612354,0.22316682,0.0007026827,0.13015363,0.030112838,0.16364379,2.1637383,-0.041723993
-0.031219753,0.24645044,0.28781077,0.3383618,0.5938659,0.28841314,0.04705076,0.034462582,0.2637586,0.34364727,0.3141071,0.20180103,0.14126267,0.28069645,0.14024289,0.256874,0.16195281,0.5269968,0.058898762,0.35610873,0.32189512,0.33932704,0.14114228,0.37031907,0.2532651,0.35485935,0.13302778,0.15893194,0.06695547,0.2167499,0.09705751,0.3154639,0.2980495,0.34855485,0.26596692,0.24873547,0.1416689,0.45933384,0.30384642,0.27101058,0.105575174,0.16620536,3.4443197,0.24857032,0.33493826,0.47657934,0.25239462,0.2400387,0.26830593,0.37800667,0.17031842,0.38400215,0.16910964,0.13214967,0.3633331,0.2666221,0.22666019,0.29910454,0.2100841,0.2143291,0.27633193,0.316114,0.06729738,0.23387833,4.5198493,0.28345382,0.33266145,0.11879892,0.16945353,0.3022653,0.055132423,0.31201962,0.10040166,0.12476746,0.3034627,0.022115538
0.8573097,-0.11512932,-0.09676554,-0.106065206,-0.08930781,-0.10396018,-0.13104416,-0.16342457,-0.08423265,-0.26681498,-0.11571245,-0.13229601,-0.1437861,0.07437322,-0.13338667,0.01172273,-0.10101481,-0.13091505,-0.04826961,0.019010521,-0.09733914,-0.2939471,-0.060327392,-0.04111194,0.004828843,-0.10689572,-0.11022499,-0.19933051,-0.09897148,-0.1437864,-0.14033641,-0.09323967,-0.07699302,-0.12483278,-0.13311984,-0.09365833,-0.084666006,-0.06746412,0.025407547,-0.05586857,-0.15049219,-0.06429762,-0.12893865,-0.110780895,0.025731402,-0.07098205,-0.09307077,-0.17242368,-0.10706055,-0.05588217,-0.030369762,-0.08394182,-0.14378224,-0.06755599,-0.03241588,-0.2248408,-0.1898533,-0.06624928,-0.119601,-0.083099864,-0.101447985,-0.09712403,-0.13217519,-0.13572553,-0.14613377,-0.13975579,-0.11160137,-0.051287837,-0.14729011,-0.10515066,-0.16563492,-0.11111732,-0.14537293,-0.06854029,-0.1306116,-0.10733374
-0.06838881,0.13261592,0.3300486,0.35404563,0.34027097,0.13969098,0.16897917,0.14311156,0.24028632,0.35010585,0.27249977,0.6047376,0.27127588,0.24527892,0.21157825,0.19379345,0.27409452,0.385481,0.10106635,0.26363653,0.18189278,0.24513786,0.15607026,0.3128945,0.2522257,0.2521967,0.20732737,0.16565537,0.07354591,0.21185488,0.14831659,0.32771927,0.2640021,0.29548958,0.24220891,0.21016805,0.18495879,0.35610068,0.29115912,0.29085693,0.29801944,0.16562639,0.24226561,0.22018473,0.40106222,0.30370575,0.45709655,0.28514236,0.13996701,0.28263357,0.14902584,0.3880069,0.09299578,0.16728215,0.3092065,0.27762127,0.28302982,0.2507017,0.46804208,0.48724237,0.3536697,0.11432722,0.12909955,0.43271288,0.24735117,0.36483076,0.27611563,0.229072,0.35852,0.31455207,0.16317135,0.23945847,8.287157,0.049265567,0.26062664,0.010812799
0.027159313,0.32984558,0.4253584,0.4034829,0.22397739,0.46632636,0.09034536,0.23478955,0.2935076,0.38289383,0.33310613,0.23792148,0.24781762,0.3278255,0.17688523,0.27696535,0.2872538,0.45167553,0.12681839,0.34427914,0.34281355,0.2519856,0.23292199,0.25600755,0.2359257,0.2522327,0.14872493,0.12303613,0.12517083,0.31539282,7.730444,0.30513433,0.36579946,0.30966067,0.3109086,0.2927957,0.16866532,0.18816951,0.2856622,0.32564878,0.17753454,0.21741848,0.29754722,0.27584618,0.3094454,0.3652761,0.40457436,0.18252717,0.25960565,0.36022472,0.116069734,0.34276697,0.29934818,0.18812895,0.26800546,0.33370787,0.40554214,0.2722725,0.24290289,0.30866614,0.3066848,0.36161473,0.12986644,0.28863522,0.2923356,0.3149782,0.38839275,0.21825951,0.21904154,0.2972165,0.1792342,0.3042835,0.20435901,0.18491781,0.4709008,-0.008655498
-0.26383838,-0.0890652,-0.17941278,-0.2122624,-0.19339597,-0.14165688,-0.08734072,-0.15334252,-0.1285569,-0.32245666,-0.13017806,0.09901545,0.17216398,-0.3191137,-0.14065507,-0.26084438,-0.12407286,-0.16520771,-0.15036257,-0.3473421,-0.07023594,-0.07305479,-0.22706322,-0.13170643,-0.20066707,-0.11540142,-0.08051999,1.4463294,-0.11039777,-0.20410751,-0.1389859,-0.082231216,-0.20021872,-0.10434895,0.007819621,-0.10318864,-0.17844047,-0.029625576,-0.25560445,-0.15271766,-0.056296982,-0.17666675,-0.13082643,-0.07293272,-0.2505098,-0.19508305,-0.16393596,-0.16751412,-0.0825024,-0.18259121,-0.16600262,-0.1803829,-0.11519506,-0.14587452,-0.22911566,-0.15640678,-0.19137163,-0.14688286,0.06148814,-0.12334959,-0.09759588,-0.14885095,-0.12546152,-0.083477505,-0.14598474,-0.1583324,-0.22728652,-0.18369727,-0.15346654,-0.058294863,-0.083025105,-0.12525992,-0.046514377,-0.17316441,-0.12427941,-0.1044494
0.015010499,-0.09574765,-0.09241197,-0.06415589,-0.06750019,-0.115368046,-0.12874801,-0.1579414,-0.05606668,2.3677702,-0.07411922,-0.10028887,-0.10458603,-0.004816964,-0.12713571,-0.021595782,-0.105406426,-0.10821737,-0.018647777,-0.04043834,-0.09377844,-0.19982567,-0.05792082,-0.042218033,0.017573403,-0.08880083,-0.08827027,-0.17511243,-0.093616575,-0.12775885,-0.14359033,-0.08610937,-0.08019928,-0.10694934,-0.09258567,-0.10392403,-0.06928045,-0.085514605,-0.020065945,-0.032784227,-0.13959788,-0.050715473,-0.12032342,-0.06277931,-0.024236413,-0.08047807,-0.04725775,-0.15910035,-0.10280614,-0.06109218,0.0021640281,-0.07590648,-0.138026,-0.07397889,-0.026151607,-0.19288087,-0.17604618,-0.07936633,-0.085979775,-0.09154475,-0.07636931,-0.071287565,-0.12288249,-0.13223995,-0.14223614,-0.15297174,-0.090535186,-0.042063963,-0.13784307,-0.11048805,-0.13946465,-0.072317064,-0.14037281,-0.04207867,-0.12082286,-0.10816977
0.11386329,0.35625896,0.52910477,0.51757324,0.41724652,0.4877075,0.3540954,0.16995503,0.4750956,0.342416,0.45408678,0.42461726,0.39830887,0.42524558,0.46716157,0.4086634,0.66992986,0.40487987,0.25779718,0.31456774,0.29092646,0.2531325,0.50870943,0.4580369,0.231599,0.477124,0.2786927,0.33703262,10.77524,0.4054912,0.45038044,0.37741026,0.4772342,0.50536096,0.42977545,0.4427032,0.42853674,0.34415212,0.5251058,0.53225964,0.2738097,0.28941754,0.49559334,0.33038396,0.5376834,0.35711995,0.42452818,0.57903224,0.3874672,0.38404185,0.12274807,0.44151115,0.44671842,0.28513086,0.2996671,0.6146787,0.51601964,0.5080222,0.24620122,0.6396965,0.45784655,0.32242823,0.34824896,0.4992514,0.55197346,0.516109,0.4678329,0.40664884,0.57756644,0.37512562,0.44057572,0.48038605,0.3768345,0.30858612,0.5807345,0.24232554
-0.015183923,0.46485636,0.43123123,0.53260595,0.71607774,0.57020134,8.812424,0.3340509,0.5646393,0.51455885,0.668501,0.59166145,0.38403073,0.39085224,0.35630438,0.41694438,0.5547648,0.5455225,0.15681104,0.49946317,0.5244297,0.3525042,0.43683255,0.46609792,0.3746296,0.585022,0.33190802,0.3532279,0.22035794,0.40916955,0.4544162,0.47693986,0.47722563,0.60854334,0.61294234,0.39551282,0.46716192,0.39549017,0.325491,0.40479597,0.26041195,0.38986933,0.51562,0.6477792,0.5295446,0.5331748,0.5178155,0.4884797,0.63439554,0.4457586,0.41170293,0.5280594,0.3585897,0.19317143,0.338128,0.4499759,0.57864887,0.49384665,0.3218413,0.4568355,0.3593792,0.36192605,0.42152202,0.52693737,0.49707258,0.4773883,0.4435872,0.26924616,0.47358227,0.7135965,0.20532529,0.7425077,0.2396694,0.3078744,0.53247666,0.09926627
0.00910385,0.22393803,0.45600745,0.30873016,0.46983057,0.3716505,0.15000997,8.294578,0.46909115,0.41098088,0.42887408,0.37766576,0.13731991,0.33513466,0.25003645,0.30722722,0.3823173,0.45778698,0.047152728,0.36302513,0.30628195,0.31804585,0.38873369,0.38393348,0.31782353,0.5083882,0.16234522,0.23307437,0.03425876,0.39759785,0.17284364,0.36520416,0.3249117,0.5406891,0.1980098,0.2687013,0.365437,0.16109645,0.37660408,0.3796631,0.16360298,0.22774886,0.25059953,0.3830269,0.24217835,0.3747737,0.3672642,0.4006686,0.28343433,0.3996293,0.23697917,0.3809436,0.23661056,0.24475941,0.35829172,0.42420405,0.3232762,0.33805466,0.27317,0.3215775,0.35946003,0.35368797,0.14287174,0.4697929,0.19421215,0.35354233,0.40873778,0.24179912,0.3913363,0.30624634,0.23652835,0.4137935,0.09849631,0.17947552,0.32208622,-0.0072750538
